Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1659040913.3345423,34,0,0,,0.2873501689954786,0.03303078034950081,0.3846042568866152,0.9285254260161989,-0.37118705743292185,-0.006518160296159556,0.0042679292016371126
1659040913.3783987,35,0,0,,0.28706816436384863,0.03564475983801482,0.3846042568866152,0.9276775912570481,-0.37330013096125836,-0.006501609528105598,0.00436210666015369
1659040913.4262938,36,0,0,,0.2864409451549653,0.04091580508529685,0.3846042568866152,0.9270201404176053,-0.37492957304688196,-0.00642501011281496,0.004493746857383426
1659040913.4664028,37,0,0,,0.28616798169012037,0.04344016502762752,0.3846042568866152,0.9271405115506781,-0.37463716416077814,-0.00615388361824201,0.00442682614049779
1659040913.4875302,38,0,0,,0.2859392719607831,0.04585127428247396,0.3846042568866152,0.9273224576641919,-0.3741963977010952,-0.005693592529050121,0.004206954332850122
1659040913.5303266,39,0,0,,0.2857538131588026,0.04802875136671729,0.3846042568866152,0.9274776489952266,-0.37382090005132484,-0.0052302892344562755,0.003973584268264265
1659040913.5742974,40,0,0,,0.28555782069438196,0.04992437626916357,0.3846042568866152,0.9274217295055276,-0.3739644518948027,-0.00495277133884886,0.0038722627252530725
1659040913.6183226,41,0,0,,0.2853644200004159,0.05161378852372689,0.3846042568866152,0.9270097504674157,-0.37498713395066696,-0.004799909767347867,0.0038121875991793787
1659040913.6623948,42,0,0,,0.28495108985674,0.05431164992407618,0.3846042568866152,0.9264085209396649,-0.376466378771486,-0.004943934672191115,0.003984406365932
1659040913.7065523,43,0,0,,0.2847836487472988,0.05530142909250859,0.3846042568866152,0.9264600651977637,-0.3763369822123365,-0.0050603326202062916,0.004076327693461262
1659040913.7248294,44,0,0,,0.28467816350446995,0.056000421603849417,0.3846042568866152,0.9265753252802527,-0.37605025669911635,-0.005189493532482293,0.004176143632718164
1659040913.7667394,45,0,0,,0.2846503729890097,0.056395168482399664,0.3846042568866152,0.9266927258906288,-0.3757577987415029,-0.00532734429607693,0.004276431735016836
1659040913.8104098,46,0,0,,0.28466588121674496,0.05656157739620767,0.3846042568866152,0.9267537326191153,-0.37560028023458875,-0.005642982586173803,0.00448389494809908
1659040913.8543162,47,0,0,,0.2847246234762678,0.056577675362697755,0.3846042568866152,0.9267493824821444,-0.3756008661842724,-0.0060755363684868125,0.0047601729643367745
1659040913.8984244,48,0,0,,0.2848528013542846,0.056591854073197966,0.3846042568866152,0.9267211364930729,-0.37563799685478055,-0.00729513431623768,0.005550811610390461
1659040913.9424806,49,0,0,,0.28492982687487356,0.056601778750535625,0.3846042568866152,0.9266885409845277,-0.3756955749382886,-0.008045257039423688,0.006037948272371687
1659040913.9631388,50,0,0,,0.28499682482060973,0.05661686492266122,0.3846042568866152,0.9266389589655006,-0.37578973331251664,-0.008882292971745262,0.006589456433906908
1659040914.0064323,51,0,0,,0.28508506904255976,0.056636607543646446,0.3846042568866152,0.9266247383403786,-0.37579257294570295,-0.009757164020786153,0.007164786510537027
1659040914.0506878,52,0,0,,0.28514674615312496,0.05664198183723851,0.3846042568866152,0.9266017907094635,-0.37581453054280395,-0.010623797027007382,0.007726255439158261
1659040914.0943747,53,0,0,,0.2852386008156256,0.056653731773783446,0.3846042568866152,0.9265553011814905,-0.3758934791534758,-0.011450271075953637,0.008261808205874972
1659040914.1386626,54,0,0,,0.2854218675706621,0.05662562386592285,0.3846042568866152,0.9263422768234979,-0.3763559096246783,-0.01276882762302683,0.009119895876723648
1659040914.182426,55,0,0,,0.2855087452991874,0.05654233038939597,0.3846042568866152,0.9261807782953119,-0.37673819407153497,-0.013069375757841546,0.00931077123927737
1659040914.2007623,56,0,0,,0.28554612194190876,0.05635023222018894,0.3846042568866152,0.9259463868557055,-0.3773114665967062,-0.013120986972434202,0.009337319976313473
1659040914.2436247,57,0,0,,0.2855913075802524,0.05598905374071753,0.3846042568866152,0.9256142419575702,-0.3781262939792494,-0.013119805860034625,0.00930868310691743
1659040914.2866008,58,0,0,,0.2856358551011884,0.05545624504520157,0.3846042568866152,0.9252470123288448,-0.3790165853284034,-0.013287277198269913,0.009372432313654658
1659040914.3305445,59,0,0,,0.2856800553183358,0.05474120323820274,0.3846042568866152,0.9247852362353361,-0.38012894514197654,-0.013594425099061214,0.009457458040074975
1659040914.3744059,60,0,0,,0.2857052480725776,0.05270306935502945,0.3846042568866152,0.9234822509091795,-0.38323698765321934,-0.014665547794420246,0.009739879788829658
1659040914.418449,61,0,0,,0.28580053770915337,0.05165152416434035,0.3846042568866152,0.9228555600361412,-0.38473416480044415,-0.014837738712157957,0.00985288058074261
1659040914.4386725,62,0,0,,0.28591005686721505,0.050669223883365415,0.3846042568866152,0.9223684487024374,-0.38589300260528236,-0.014886952289019222,0.010070453309536438
1659040914.482306,63,0,0,,0.2860567836379378,0.04955821280244979,0.3846042568866152,0.9219964179843213,-0.3867759644684248,-0.014919097086755796,0.010216607860545703
1659040914.5266337,64,0,0,,0.28616084618194415,0.04858507813055518,0.3846042568866152,0.9216645989173662,-0.38755733945146265,-0.015057743168083776,0.010341185163801843
1659040914.570409,65,0,0,,0.28615413874335105,0.04768090501415132,0.3846042568866152,0.9213866432728629,-0.3881914030943149,-0.015496788266424012,0.010674161151421255
1659040914.6143172,66,0,0,,0.2860002183801729,0.04601454066104158,0.3846042568866152,0.9208520610024877,-0.38939511894846757,-0.01651238929087429,0.011413329309959537
